MINERAL,MINERAL USAGE,LEADING SOURCES (2019 - 2022),LEADING SOURCES PERCENT,PRIMARY IMPORT SOURCE TO US,PRMARY SOURCE NET RELIENCE PERCENT,LEADING PRODUCING COUNTRY,LEADING COUNTRY PRODUCTION,WORLD PRODUCTION PERCENT
Aluminum,used in almost all sectors of the economy,"Canada, United Arab Emirates, Bahrain, Russia",0.44,Jamaica,0.75,Australia,98000000,25
Antimony,used in lead-acid batteries and flame retardants,#N/A,#N/A,China,0.83,China,40000,48
Arsenic,used in semi-conductors,"China, Morocco, Malaysia, Belgium",1,China,1,Peru,27000,45
Barite,used in hydrocarbon production.,"India, China, Morocco, Mexico",0.75,China,0.75,India,2700000,32
Beryllium,used as an alloying agent in aerospace and defense industries,#N/A,#N/A,#N/A,#N/A,United States,190,58
Bismuth,"Bismuth, used in medical and atomic research","China, Republic of Korea, Belgium, Mexico",0.94,China,0.96,China,16000,80
Cerium,"used in catalytic converters, ceramics, glass, metallurgy, and polishing compounds",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cesium,used in research and development,Germany,1,#N/A,#N/A,#N/A,#N/A,#N/A
Chromium,used primarily in stainless steel and other alloys,"South Africa, Kazakhstan, Russia, Canada",0.74,South Africa,0.83,South Africa,18000000,44
Cobalt,used in rechargeable batteries and superalloys,"Norway, Canada, Finland, Japan",0.67,Norway,0.76,Congo (Kinshasa),170000,74
Dysprosium,"used in permanent magnets, data storage devices, and lasers",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Erbium,"used in fiber optics, optical amplifiers, lasers, and glass colorants",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Europium,used in phosphors and nuclear control rods,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fluorspar,"used in the manufacture of aluminum, cement, steel, gasoline, and fluorine chemicals","Mexico, Vietnam, China, South Africa",1,Mexico,1,China,5700000,65
Gadolinium,"used in medical imaging, permanent magnets, and steelmaking",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gallium,used for integrated circuits and optical devices like LEDs,"Japan, China, Germany, Canada",1,China,1,China,600,98
Germanium,used for fiber optics and night vision applications,"Belgium, China, Canada",0.5,China,0.5,China,NA,NA
Graphite ,"used for lubricants, batteries, and fuel cells","China, Mexico, Canada, Madagascar",1,#N/A,#N/A,#N/A,#N/A,#N/A
Hafnium,"used for nuclear control rods, alloys, and high-temperature ceramics",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Holmium,"used in permanent magnets, nuclear control rods, and lasers",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Indium,used in liquid crystal display screens,"Republic of Korea, Canada, Belgium",1,Republic of Korea,1,China,650,66
Iridium,used as coating of anodes for electrochemical processes and as a chemical catalyst,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lanthanum,"used to produce catalysts, ceramics, glass, polishing compounds, metallurgy, and batteries",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lithium,used for rechargeable batteries,"Argentina, Chile, China, Russia",0.25,Argentina,0.25,Australia,86000,48
Lutetium,"used in scintillators for medical imaging, electronics, and some cancer therapies",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Magnesium,used as an alloy and for reducing metals,"China, Israel, Canada, Brazil",0.52,Israel,0.5,China,830000,88
Manganese,used in steelmaking and batteries,"Gabon, South Africa, Australia, Georgia",1,Gabon,1,South Africa,7200000,36
Neodymium,"used in permanent magnets, rubber catalysts, and in medical and industrial lasers",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nickel,"used to make stainless steel, superalloys, and rechargeable batteries","Canada, Norway, Finland, Russia",0.57,Canada,0.56,Indonesia,1800000,50
Niobium,used mostly in steel and superalloys,#N/A,#N/A,Brazil,1,Brazil,75000,90
Palladium,used in catalytic converters and as a catalyst agent,"Russia, South Africa, Italy, Canada",0.37,Russia,0.26,Russia,92,44
Platinum,used in catalytic converters,"South Africa, Switzerland, Germany, Belgium",0.83,South Africa,0.66,South Africa,120,67
Praseodymium,"used in permanent magnets, batteries, aerospace alloys, ceramics, and colorants",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rhodium,"used in catalytic converters, electrical components, and as a catalyst",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rubidium,used for research and development in electronics,"China, Germany, Russia",1,#N/A,#N/A,#N/A,#N/A,#N/A
Ruthenium,"used as catalysts, as well as electrical contacts and chip resistors in computers",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Samarium,"used in permanent magnets, as an absorber in nuclear reactors, and in cancer treatments",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scandium,"used for alloys, ceramics, and fuel cells","Japan, China, Germany, Philippines",1,Europe,1,China,NA,NA
Tantalum,"used in electronic components, mostly capacitors and in superalloys","China, Germany, Australia, Indonesia",1,China,1,Congo (Kinshasa),980,41